chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
146,0000-00-00,CH,,,,20169,0,2,0000-00-00,92,0,,H38,10
147,0000-00-00,CH,,,,20170,0,2,0000-00-00,60,0,,H38,8
148,0000-00-00,CH,,,,20162,0,2,0000-00-00,100,0,,H38,11
149,0000-00-00,CH,,,,20000,0,2,0000-00-00,80,0,,H38,7
150,0000-00-00,CH,,,,20157,0,2,0000-00-00,78,0,,H38,11
151,0000-00-00,CH,,,,20169,0,2,0000-00-00,90,0,,H38,5
152,0000-00-00,CH,,,,20155,0,2,0000-00-00,108,0,,H38,9
153,0000-00-00,CH,,,,20170,0,2,0000-00-00,80,0,,H38,12
154,0000-00-00,CH,,,,20162,0,2,0000-00-00,92,0,,H38,3
155,0000-00-00,CH,,,,20162,0,2,0000-00-00,100,0,,H38,4
156,0000-00-00,CH,,,,20162,0,2,0000-00-00,72,0,,H38,3
157,0000-00-00,CH,,,,20157,0,2,0000-00-00,80,0,,H38,8
158,0000-00-00,CH,,,,20104,0,2,0000-00-00,100,0,,H38,8
159,0000-00-00,CH,,,,20157,0,2,0000-00-00,70,0,,H38,12
160,0000-00-00,CH,,,,20157,0,2,0000-00-00,95,0,,H38,7
161,0000-00-00,CH,,,,20131,0,2,0000-00-00,82,0,,H38,8
162,0000-00-00,CH,,,,20131,0,2,0000-00-00,88,0,,H38,10
163,0000-00-00,CH,,,,20165,0,2,0000-00-00,88,0,,H38,7
164,0000-00-00,CH,,,,20155,0,2,0000-00-00,82,0,,H38,4
165,0000-00-00,CH,,,,20131,0,2,0000-00-00,80,0,,H38,8
166,0000-00-00,CH,,,,20169,0,2,0000-00-00,91,0,,H38,12
167,0000-00-00,CH,,,,20162,0,2,0000-00-00,82,0,,H38,10
168,0000-00-00,CH,,,,20170,0,2,0000-00-00,90,0,,H38,9
169,0000-00-00,CH,,,,20150,0,2,0000-00-00,76,0,,H38,7
170,0000-00-00,CH,,,,20165,0,2,0000-00-00,84,0,,H38,8
171,0000-00-00,CH,,,,20157,0,2,0000-00-00,94,0,,H38,8
172,0000-00-00,CH,,,,20169,0,2,0000-00-00,70,0,,H38,7
173,0000-00-00,CH,,,,20150,0,2,0000-00-00,110,0,,H38,7
174,0000-00-00,CH,,,,20165,0,2,0000-00-00,72,0,,H38,4
175,0000-00-00,CH,,,,20152,0,2,0000-00-00,78,0,,H38,12
176,0000-00-00,CH,,,,20157,0,2,0000-00-00,81,0,,H38,7
177,0000-00-00,CH,,,,20131,0,2,0000-00-00,99,0,,H38,7
178,0000-00-00,CH,,,,20152,0,2,0000-00-00,90,0,,H38,4
179,0000-00-00,CH,,,,20169,0,2,0000-00-00,82,0,,H38,11
180,0000-00-00,CH,,,,20131,0,2,0000-00-00,91,0,,H38,9
181,0000-00-00,CH,,,,20162,0,2,0000-00-00,88,0,,H38,3
182,0000-00-00,CH,,,,20162,0,2,0000-00-00,98,0,,H38,9
183,0000-00-00,CH,,,,20165,0,2,0000-00-00,90,0,,H38,10
184,0000-00-00,CH,,,,20104,0,2,0000-00-00,94,0,,H38,8
185,0000-00-00,CH,,,,20114,0,2,0000-00-00,82,0,,H38,8
186,0000-00-00,CH,,,,20155,0,2,0000-00-00,79,0,,H38,8
187,0000-00-00,CH,,,,20131,0,2,0000-00-00,100,0,,H38,7
188,0000-00-00,CH,,,,20150,0,2,0000-00-00,99,0,,H38,7
189,0000-00-00,CH,,,,20114,0,2,0000-00-00,114,0,,H38,10
190,0000-00-00,CH,,,,20000,0,2,0000-00-00,112,0,,H38,9
191,0000-00-00,CH,,,,20150,0,2,0000-00-00,65,0,,H38,7
192,0000-00-00,CH,,,,20170,0,2,0000-00-00,108,0,,H38,9
193,0000-00-00,CH,,,,20114,0,2,0000-00-00,69,0,,H38,12
194,0000-00-00,CH,,,,20426,0,2,0000-00-00,89,0,,H38,4
195,0000-00-00,LO,,,,20430,10210,3,0000-00-00,50,1,,H38,2
196,0000-00-00,LOLOARAN,,,,20430,10198,2,0000-00-00,35,1,,H38,2
197,0000-00-00,LOLOANAN,,,,20430,10208,3,0000-00-00,48,1,,H38,2
198,0000-00-00,LOLOARAN,,,,20430,10203,2,0000-00-00,45,1,,H38,2
199,0000-00-00,ARLOANAN,,,,20437,10184,3,0000-00-00,60,1,,H38,3
200,0000-00-00,ARLOANAN,,,,20437,10196,2,0000-00-00,60,1,,H38,3
201,0000-00-00,LOLOARAN,,,,20430,10197,3,0000-00-00,63,1,,H38,2
202,0000-00-00,ARLOANHH,,,,20435,10142,2,0000-00-00,60,1,,H38,5
203,0000-00-00,ARLOANSM,,,,20437,10185,2,0000-00-00,74,1,,H38,3
204,0000-00-00,ARLOARHH,,,,20471,10056,3,0000-00-00,84,1,,H38,10
205,0000-00-00,LOLOARAN,,,,20430,10204,3,0000-00-00,54,1,,H38,2
206,0000-00-00,LO,,,,20430,10212,2,0000-00-00,45,1,,H38,2
