chaps_id,start_date,exit_date,herd_id,producer_id,entry_code,exit_code
297,2014-05-09,NULL,H38,0,NULL,NULL
298,2014-05-10,NULL,H38,0,NULL,NULL
299,2014-05-10,NULL,H38,0,NULL,NULL
300,2014-05-10,NULL,H38,0,NULL,NULL
301,2014-05-10,NULL,H38,0,NULL,NULL
302,2014-05-11,NULL,H38,0,NULL,NULL
303,2014-05-11,NULL,H38,0,NULL,NULL
304,2014-05-12,NULL,H38,0,NULL,NULL
305,2014-05-12,NULL,H38,0,NULL,NULL
306,2014-05-12,NULL,H38,0,NULL,NULL
307,2014-05-12,NULL,H38,0,NULL,NULL
308,2014-05-13,NULL,H38,0,NULL,NULL
309,2014-05-13,NULL,H38,0,NULL,NULL
310,2014-05-14,NULL,H38,0,NULL,NULL
311,2014-05-14,NULL,H38,0,NULL,NULL
312,2014-05-14,NULL,H38,0,NULL,NULL
313,2014-05-15,NULL,H38,0,NULL,NULL
314,2014-05-15,NULL,H38,0,NULL,NULL
315,2014-05-15,NULL,H38,0,NULL,NULL
316,2014-05-16,NULL,H38,0,NULL,NULL
317,2014-05-16,NULL,H38,0,NULL,NULL
318,2014-05-17,NULL,H38,0,NULL,NULL
319,2014-05-17,NULL,H38,0,NULL,NULL
320,2014-05-18,NULL,H38,0,NULL,NULL
321,2014-05-19,NULL,H38,0,NULL,NULL
322,2014-05-19,NULL,H38,0,NULL,NULL
323,2014-05-20,NULL,H38,0,NULL,NULL
324,2014-05-20,NULL,H38,0,NULL,NULL
325,2014-05-21,NULL,H38,0,NULL,NULL
326,2014-05-21,NULL,H38,0,NULL,NULL
327,2014-05-22,NULL,H38,0,NULL,NULL
328,2014-05-24,NULL,H38,0,NULL,NULL
329,2014-05-25,NULL,H38,0,NULL,NULL
330,2014-05-25,NULL,H38,0,NULL,NULL
331,2014-05-25,NULL,H38,0,NULL,NULL
332,2014-05-26,NULL,H38,0,NULL,NULL
333,2014-05-27,NULL,H38,0,NULL,NULL
334,2014-05-28,NULL,H38,0,NULL,NULL
335,2014-05-28,NULL,H38,0,NULL,NULL
336,2014-05-28,NULL,H38,0,NULL,NULL
337,2014-05-28,NULL,H38,0,NULL,NULL
338,2014-05-28,NULL,H38,0,NULL,NULL
339,2014-05-28,NULL,H38,0,NULL,NULL
340,2014-05-28,NULL,H38,0,NULL,NULL
341,2014-05-29,NULL,H38,0,NULL,NULL
342,2014-05-31,NULL,H38,0,NULL,NULL
343,2014-06-01,NULL,H38,0,NULL,NULL
344,2014-06-01,NULL,H38,0,NULL,NULL
345,2014-06-03,NULL,H38,0,NULL,NULL
346,2014-06-03,NULL,H38,0,NULL,NULL
347,2014-06-04,NULL,H38,0,NULL,NULL
348,2014-06-04,NULL,H38,0,NULL,NULL
349,2014-06-04,NULL,H38,0,NULL,NULL
350,2014-06-05,NULL,H38,0,NULL,NULL
351,2014-06-05,NULL,H38,0,NULL,NULL
352,2014-06-08,NULL,H38,0,NULL,NULL
353,2014-06-11,NULL,H38,0,NULL,NULL
354,2014-06-12,NULL,H38,0,NULL,NULL
355,2014-06-15,NULL,H38,0,NULL,NULL
356,2014-06-15,NULL,H38,0,NULL,NULL
357,2014-06-16,NULL,H38,0,NULL,NULL
358,2014-06-16,NULL,H38,0,NULL,NULL
359,2014-06-17,NULL,H38,0,NULL,NULL
360,2014-06-23,NULL,H38,0,NULL,NULL
361,2014-04-02,NULL,H38,0,NULL,NULL
362,2014-04-28,NULL,H38,0,NULL,NULL
363,2014-05-25,NULL,H38,0,NULL,NULL
364,1990-03-07,NULL,H38,0,NULL,NULL
365,1990-04-24,NULL,H38,0,NULL,NULL
366,1990-04-16,NULL,H38,0,NULL,NULL
367,2005-03-21,NULL,H38,0,NULL,NULL
368,2005-04-03,NULL,H38,0,NULL,NULL
369,2005-04-04,NULL,H38,0,NULL,NULL
370,2006-03-23,NULL,H38,0,NULL,NULL
371,2006-03-26,NULL,H38,0,NULL,NULL
372,2006-03-26,NULL,H38,0,NULL,NULL
373,2006-03-28,NULL,H38,0,NULL,NULL
374,2006-03-28,NULL,H38,0,NULL,NULL
375,2006-03-28,NULL,H38,0,NULL,NULL
376,2006-03-31,NULL,H38,0,NULL,NULL
377,2006-04-01,NULL,H38,0,NULL,NULL
378,2006-04-10,NULL,H38,0,NULL,NULL
379,2007-03-15,NULL,H38,0,NULL,NULL
380,2007-03-15,NULL,H38,0,NULL,NULL
381,2007-03-17,NULL,H38,0,NULL,NULL
382,2007-03-17,NULL,H38,0,NULL,NULL
383,2007-03-25,NULL,H38,0,NULL,NULL
384,2007-03-27,NULL,H38,0,NULL,NULL
385,2007-03-28,NULL,H38,0,NULL,NULL
386,2007-03-28,NULL,H38,0,NULL,NULL
387,2007-03-29,NULL,H38,0,NULL,NULL
388,2007-03-29,NULL,H38,0,NULL,NULL
389,2007-03-30,NULL,H38,0,NULL,NULL
390,2007-04-01,NULL,H38,0,NULL,NULL
391,2007-04-02,NULL,H38,0,NULL,NULL
392,2007-04-07,NULL,H38,0,NULL,NULL
393,2007-05-07,NULL,H38,0,NULL,NULL
394,2007-05-11,NULL,H38,0,NULL,NULL
395,2008-03-15,NULL,H38,0,NULL,NULL
396,2008-03-15,NULL,H38,0,NULL,NULL
397,2008-03-19,NULL,H38,0,NULL,NULL
398,2008-03-18,NULL,H38,0,NULL,NULL
399,2008-03-20,NULL,H38,0,NULL,NULL
400,2008-03-22,NULL,H38,0,NULL,NULL
