10066,1973-08-26,AR,58495,,,CHOCF373,PBC6F,2,,,,,H38
10067,1970-09-10,AR,33457,,,KAIDAHCF,,2,,,,,H38
10068,,AN,1041891,BLACKCAP SAMANTHA PP 338,,PSPOWER,,2,,,,,H38
10069,2005-03-20,LOANHHAR,,,9.85E+14,307M,N3090,2,,,,,H38
10070,2005-03-29,LOHH,,,9.82E+14,UNKNLO,N3446,2,,,,,H38
10072,2005-04-08,LOANANAN,,,,307M,N3089,2,,,,,H38
10073,2005-04-10,LOANANAN,,,9.82E+14,UNKNLO,N3055,2,,,,,H38
10074,2005-04-10,LOANHHAN,,,9.82E+14,307M,N3265,2,,,,,H38
10075,2005-04-12,LOANHHAR,,,,307M,N3059,2,,,,,H38
10076,2005-04-12,LOANHHAN,,,,307M,N3072,2,,,,,H38
10077,2005-05-07,LOHHHHAR,,,9.82E+14,307M,N3306,2,,,,,H38
10078,2005-05-07,LOANHHAN,,,9.82E+14,307M,N3330,2,,,,,H38
10079,1978-03-21,AR,95647,,,RCNROGI4,RCNXARM,2,,,,,H38
10080,1974-05-04,AR,66267,,,RRRBURKE,MDGLNRC,2,,,,,H38
10081,1975-03-15,AR,73399,,,ROCKYMTN,,2,,,,,H38
10082,2006-03-22,LOANHHAN,,,9.82E+14,UNKNLO,P4018,2,,,,,H38
10084,2006-03-28,LOHHHHAR,,,9.99E+14,307M,N3306,2,,,,,H38
10086,2006-03-28,LOANANGV,,,9.82E+14,UNKNLO,P4143,2,,,,,H38
10088,2006-03-29,LOAN,,,9.82E+14,307M,N3164,2,,,,,H38
10089,2006-03-31,LOANHP,,,9.82E+14,UNKNLO,P4127,2,,,,,H38
10090,2006-03-31,LOANAR,,,9.99E+14,UNKNLO,P4090,2,,,,,H38
10091,2006-03-31,LOANANHH,,,9.82E+14,307M,N3113,2,,,,,H38
10092,2006-04-01,LOAN,,,9.82E+14,UNKNLO,P4022,2,,,,,H38
10093,2006-04-01,LOAN,,,9.49E+14,UNKNLO,P4042,2,,,,,H38
10095,2006-04-01,LOARHH,,,9.82E+14,307M,N3305,2,,,,,H38
10096,2006-04-02,LOANANHH,,,9.82E+14,UNKNLO,P4038,2,,,,,H38
10097,2006-04-03,LOARHPAN,,,9.99E+14,307M,N3272,2,,,,,H38
10098,2006-04-03,LOANHHAR,,,9.82E+14,307M,N3090,2,,,,,H38
10099,2006-04-06,LOANHHAN,,,9.99E+14,UNKNLO,P4021,2,,,,,H38
10100,2006-04-08,LOANANHH,,,9.82E+14,UNKNLO,P4034,2,,,,,H38
10101,2006-04-09,LOANANHH,,,9.82E+14,UNKNLO,P4005,2,,,,,H38
10102,2006-04-09,LOANHH,,,9.82E+14,UNKNLO,P4076,2,,,,,H38
10103,2006-04-09,LOANHHAN,,,9.99E+14,UNKNLO,P4026,2,,,,,H38
10104,2006-04-13,LOANHHAR,,,9.82E+14,UNKNLO,P4111,2,,,,,H38
10105,2006-04-13,LOANHHAN,,,9.82E+14,UNKNLO,P4012,2,,,,,H38
10106,2006-04-13,LOANANAN,,,9.82E+14,UNKNLO,P4002,2,,,,,H38
10107,2006-04-15,LOAN,,,9.82E+14,UNKNLO,P4003,2,,,,,H38
10108,2006-04-15,LOANHHAN,,,9.82E+14,UNKNLO,P4010,2,,,,,H38
10109,2006-04-15,LOANANGV,,,9.82E+14,UNKNLO,P4056,2,,,,,H38
10110,2006-04-17,LOANAR,,,9.82E+14,UNKNLO,P4067,2,,,,,H38
10111,2006-04-22,LOAN,,,9.82E+14,UNKNLO,P4101,2,,,,,H38
10112,2006-04-26,LOANAR,,,9.82E+14,UNKNLO,P4032,2,,,,,H38
10113,2006-04-26,LOANANHH,,,9.49E+14,UNKNLO,P4120,2,,,,,H38
10114,2006-04-28,LOANANAR,,,9.82E+14,UNKNLO,P4013,2,,,,,H38
10115,2006-04-30,LOANHH,,,9.99E+14,UNKNLO,P4130,2,,,,,H38
10116,2006-05-05,LOANHH,,,9.82E+14,UNKNLO,P4129,2,,,,,H38
10117,2006-05-09,LOAN,,,9.82E+14,UNKNLO,P4060,2,,,,,H38
10118,2006-05-15,LOANANHH,,,9.49E+14,UNKNLO,P4069,2,,,,,H38
10119,2006-05-26,LOANANAN,,,9.82E+14,307M,N3089,2,,,,,H38
10120,,AN,10830647,SUMMITCREST AIRN U044,,PSPOWER,,2,,,,,H38
10124,2008-03-21,LOARHH,,,9.49E+14,307M,N3305,2,,,,,H38
10125,2008-03-22,LOANHHAN,,,9.49E+14,307M,S6038,2,,,,,H38
10126,2008-03-22,LOANANAN,,,9.49E+14,307M,N3089,2,,,,,H38
10129,2008-03-23,LOARANHH,,,9.49E+14,UNKNLO,S6154,2,,,,,H38
10130,2008-03-24,LOARHH,,,9.49E+14,UNKNLO,S6107,2,,,,,H38
10131,2008-03-24,LOARAN,,,9.49E+14,UNKNLO,S6247,2,,,,,H38
10134,2008-03-25,LOARANHH,,,9.49E+14,UNKNLO,S6131,2,,,,,H38
10138,2008-03-27,LOANHHAN,,,9.49E+14,UNKNLO,S6070,2,,,,,H38
10139,2008-03-27,LOANHHAN,,,9.49E+14,UNKNLO,S6046,2,,,,,H38
10141,2008-03-29,LOAN,,,9.49E+14,UNKNLO,S6011,2,,,,,H38
10142,2008-03-30,LOANHHAN,,,9.49E+14,UNKNLO,S6069,2,,,,,H38
10144,2008-04-02,LOANANHH,,,9.49E+14,UNKNLO,S6006,2,,,,,H38
10148,2008-04-11,LOANARAN,,,9.49E+14,UNKNLO,S6051,2,,,,,H38
10149,2008-04-13,LOAN,,,9.49E+14,UNKNLO,S6065,2,,,,,H38
10150,2008-04-13,LOANAR,,,9.49E+14,UNKNLO,S6086,2,,,,,H38
10153,2008-04-16,LOANHPAN,,,9.49E+14,UNKNLO,S6102,2,,,,,H38
10156,2008-04-21,LOANHHAN,,,9.49E+14,UNKNLO,S6049,2,,,,,H38
10157,2008-04-29,LOANANGV,,,9.49E+14,UNKNLO,S6016,2,,,,,H38
10159,,,,,,,,2,,,,,H38
10163,2009-03-26,ANARHH,,,9.82E+14,7AN221,N3305,2,,,,,H38
10167,2009-04-01,ANARHPAN,,,9.82E+14,7AN221,N3272,2,,,,,H38
10176,2009-04-16,ARANANAN,,,9.82E+14,S48,N3089,2,,,,,H38
10180,2010-03-24,LOANARAN,,,9.49E+14,UNKNLO,S6026,2,,,,,H38
10181,2010-03-24,LOARANAN,,,9.49E+14,UNKNLO,U8218,2,,,,,H38
10182,2010-04-09,LOARHHHH,,,9.49E+14,UNKNLO,U8096,2,,,,,H38
10183,2010-03-18,LOANMX,,,9.49E+14,LEXUS,,2,,,,,H38
10184,2010-03-20,LOANAN,,,9.49E+14,UTAH,,2,,,,,H38
10185,2010-03-20,LOANSM,,,9.49E+14,SHERMAN,,2,,,,,H38
10186,2010-03-21,LOANAN,,,9.49E+14,DURBIN,,2,,,,,H38
10187,2010-03-22,LOANAN,,,9.49E+14,UTAH,,2,,,,,H38
10188,2010-03-24,LOANAN,,,9.49E+14,DURBIN,,2,,,,,H38
10189,2010-03-29,LOANAN,,,9.49E+14,SHERMAN,,2,,,,,H38
10190,2010-04-06,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10191,2010-04-07,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10192,2010-04-08,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10193,2010-04-12,LOAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10194,2010-04-16,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10195,2010-04-17,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10196,2010-04-27,LOANAN,,,9.49E+14,UNKNLO,,2,,,,,H38
10197,2011-02-27,LOARAN,,,9.82E+14,59LO1,W9126,2,,,,,H38
10198,2011-02-28,LOARANHH,,,9.82E+14,59LO1,W9185,2,,,,,H38
10199,2011-03-04,LOARHHAR,,,9.82E+14,59LO1,W9234,2,,,,,H38
10200,2011-03-04,LOANHH,,,9.82E+14,59LO1,W9012,2,,,,,H38
10201,2011-03-04,LOARANAR,,,9.82E+14,59LO1,W9190,2,,,,,H38
10202,2011-03-05,LOANAR,,,9.82E+14,59LO1,W9095,2,,,,,H38
10203,2011-03-14,LOARANHH,,,9.82E+14,UNKNLO,W9149,2,,,,,H38
10204,2011-03-17,LOARANHH,,,9.82E+14,UNKNLO,W9250,2,,,,,H38
10205,2011-03-20,LOARANHP,,,9.82E+14,UNKNLO,W9165,2,,,,,H38
10206,2011-03-20,LOARAN,,,9.82E+14,UNKNLO,W9137,2,,,,,H38
10207,2011-03-24,LOANHHHH,,,,UNKNLO,W9024,2,,,,,H38
10208,2011-04-15,LOANANHH,,,,UNKNLO,W9083,2,,,,,H38
10209,2011-03-30,LO,,,9.82E+14,UNKNLO,1006,2,,,,,H38
10210,2011-04-03,LO,,,9.82E+14,UNKNLO,1019,2,,,,,H38
10211,2011-04-04,LO,,,9.82E+14,UNKNLO,1027,2,,,,,H38
10212,2011-04-07,LO,,,9.82E+14,UNKNLO,1038,2,,,,,H38
10213,2011-04-07,LO,,,9.82E+14,UNKNLO,1039,2,,,,,H38
10214,2011-04-20,LO,,,9.82E+14,UNKNLO,1140,2,,,,,H38
10215,2011-04-30,LO,,,9.82E+14,UNKNLO,1305,2,,,,,H38
10216,2011-05-05,LO,,,9.82E+14,UNKNLO,1349,2,,,,,H38
10217,2012-05-21,LOANGV,,006Z5ID,9.82E+14,UNKNLO,X0002,2,,,,,H38
10218,2012-05-24,LOANARMX,,006Z5ID,9.82E+14,6T,X0181,2,,,,,H38
10219,2012-05-24,LOSHAR,,006Z5ID,9.82E+14,30T,X0104,2,,,,,H38
10220,2012-05-27,LOARGV,,006Z5ID,9.82E+14,UNKNLO,X0084,2,,,,,H38
10221,2012-06-17,LOSHAN,,006Z5ID,9.82E+14,6T,X0199,2,,,,,H38
10222,2012-06-18,LOARGV,,006Z5ID,9.82E+14,UNKNLO,X0043,2,,,,,H38
