10096,2013-08-01,2013-11-14,2013-07-17,1055,4,2014-11-19,1030,0
10097,2006-06-16,,2007-03-15,558,0,,0,0
10097,2007-06-18,2007-09-19,,0,0,2008-10-16,896,5
10098,2006-06-16,,2007-03-15,488,0,,0,0
10098,2007-06-18,2007-09-19,,0,0,2008-10-30,910,6
10098,2008-06-10,,,0,0,,0,0
10098,2009-06-18,,,0,0,2009-10-16,962,5
10098,2010-06-01,2010-08-16,,0,0,2011-10-14,1100,5
10099,2006-06-16,,2007-03-15,492,0,,0,0
10099,2007-06-18,2007-09-19,,0,0,2008-10-30,838,6
10100,2006-06-16,,2007-03-15,560,0,,0,0
10100,2007-06-18,,,0,0,,0,0
10101,2006-06-16,,2007-03-15,580,0,,0,0
10101,2007-06-18,2007-09-19,,0,0,2008-10-16,918,5
10101,2008-06-10,,,0,0,,0,0
10101,2009-06-18,,,0,0,2009-10-16,1005,6
10102,2006-06-16,,2007-03-15,540,0,,0,0
10102,2007-06-18,2007-09-19,,0,0,2008-10-30,864,6
10102,2008-06-10,,,0,0,,0,0
10102,2009-06-18,,,0,0,2009-10-29,970,6
10102,2010-06-01,2010-08-16,,0,0,2011-10-14,1090,5
10102,2011-08-08,2011-10-14,2011-10-14,1090,5,2012-11-15,994,5
10102,2012-08-01,2012-10-18,2012-07-20,1105,5,2013-11-14,1085,5
10102,2013-08-01,2013-11-14,2013-07-17,1110,5,2014-11-19,1090,5
10103,2006-06-16,,2007-03-15,580,0,,0,0
10103,2007-06-18,2007-09-19,,0,0,2008-10-30,896,6
10103,2008-06-10,,,0,0,,0,0
10103,2009-06-18,,,0,0,2009-10-29,1060,6
10103,2010-06-01,2010-08-16,,0,0,2011-10-14,1100,4
10103,2011-08-08,2011-10-14,2011-10-14,1100,4,2012-11-15,1060,4
10103,2012-08-01,2012-10-18,2012-07-20,1205,6,2013-11-14,1140,3
10103,2013-08-01,2013-11-14,2013-07-17,1255,4,2014-11-17,1135,4
10104,2006-06-16,,2007-03-15,482,0,,0,0
10104,2007-06-18,2007-09-19,,0,0,2008-10-16,832,5
10104,2008-06-10,,,0,0,,0,0
10104,2009-06-18,,,0,0,2009-10-29,982,7
10104,2010-06-01,2010-08-16,,0,0,2011-10-14,1055,5
10104,2011-08-08,2011-10-14,2011-10-14,1055,5,2012-11-15,1010,5
10104,2012-08-01,2012-10-18,2012-07-20,1045,5,2013-11-14,1095,4
10104,2013-08-01,2013-11-14,2013-07-17,1040,4,2014-11-19,1090,5
10105,2006-06-16,,2007-03-15,522,0,,0,0
10105,2007-06-18,2007-09-19,,0,0,2008-10-30,910,6
10105,2008-06-10,,,0,0,,0,0
10105,2009-06-18,,,0,0,2009-10-29,970,6
10106,2006-06-16,,2007-03-15,464,0,,0,0
10106,2007-06-18,2007-09-19,,0,0,2008-10-30,798,6
10106,2008-06-10,,,0,0,,0,0
10106,2009-06-18,,,0,0,,0,0
10106,2010-06-01,2010-08-16,,0,0,,0,0
10107,2006-06-16,,2007-03-15,528,0,,0,0
10107,2007-06-18,2007-09-19,,0,0,2008-10-30,934,6
10107,2008-06-10,,,0,0,,0,0
10107,2009-06-18,,,0,0,2009-10-16,1020,6
10108,2006-06-16,,2007-03-15,544,0,,0,0
10108,2007-06-18,2007-09-19,,0,0,2008-10-30,908,5
10108,2008-06-10,,,0,0,,0,0
10108,2009-06-18,,,0,0,2009-10-16,958,5
10108,2010-06-01,2010-08-16,,0,0,2011-10-14,1105,5
10108,2011-08-08,2011-10-14,2011-10-14,1105,5,2012-11-15,950,5
10108,2012-08-01,2012-10-18,2012-07-20,1175,5,2013-11-14,1140,4
10108,2013-08-01,2013-11-14,2013-07-17,1175,5,2014-11-19,1115,5
10109,2006-06-16,,2007-03-15,532,0,,0,0
10109,2007-06-18,2007-09-19,,0,0,2008-10-16,914,5
10109,2008-06-10,,,0,0,,0,0
10109,2009-06-18,,,0,0,2009-10-16,1030,5
10110,2006-06-16,,2007-03-15,524,0,,0,0
10110,2007-06-18,2007-09-19,,0,0,2008-10-30,832,6
10110,2008-06-10,,,0,0,,0,0
10111,2006-06-16,,2007-03-15,444,0,,0,0
10111,2007-06-18,2007-09-19,,0,0,,0,0
10111,2008-06-10,,,0,0,2008-10-30,828,6
10111,2009-06-18,,,0,0,2009-10-16,865,5
10111,2010-06-01,2010-08-16,,0,0,2011-10-14,1085,5
10111,2011-08-08,2011-10-14,2011-10-14,1085,5,2012-11-15,994,5
10111,2012-08-01,2012-10-18,2012-07-20,1165,5,2013-11-14,1115,4
10111,2013-08-01,2013-11-14,2013-07-17,1055,4,2014-11-19,1080,5
10112,2006-06-16,,2007-03-15,502,0,,0,0
10112,2007-06-18,2007-09-19,,0,0,,0,0
10113,2006-06-16,,2007-03-15,512,0,,0,0
10113,2007-06-18,2007-09-19,,0,0,2008-10-16,886,5
10113,2008-06-10,,,0,0,,0,0
10113,2009-06-18,,,0,0,2009-10-29,948,6
10113,2010-06-01,2010-08-16,,0,0,2011-10-14,1050,5
10113,2011-08-08,2011-10-14,2011-10-14,1050,5,2012-11-15,984,5
10113,2012-08-01,2012-10-18,2012-07-20,1065,5,2013-11-14,1125,5
10113,2013-08-01,2013-11-14,2013-07-17,1055,5,,0,0
