chaps_id,CalfID,entry_date,weight,hip_height,frame_score,status,notes,group,stage
457,W9077,,0,0,0,FALSE,,,R
458,W9089,,0,0,0,FALSE,,,R
459,W9107,,0,0,0,FALSE,,,R
460,W9108,,0,0,0,FALSE,,,R
461,W9109,,0,0,0,FALSE,,,R
462,W9120,,0,0,0,FALSE,,,R
463,W9123,,0,0,0,FALSE,,,R
464,W9124,,0,0,0,FALSE,,,R
465,W9125,,0,0,0,FALSE,,,R
466,W9148,,0,0,0,FALSE,,,R
467,W9157,,0,0,0,FALSE,,,R
468,W9158,,0,0,0,FALSE,,,R
469,W9178,,0,0,0,FALSE,,,R
470,W9186,,0,0,0,FALSE,,,R
471,W9187,,0,0,0,FALSE,,,R
472,W9188,,0,0,0,FALSE,,,R
473,W9189,,0,0,0,FALSE,,,R
474,W9196,,0,0,0,FALSE,,,R
475,W9207,,0,0,0,FALSE,,,R
476,W9208,,0,0,0,FALSE,,,R
477,W9214,,0,0,0,FALSE,,,R
478,W9215,,0,0,0,FALSE,,,R
479,W9217,,0,0,0,FALSE,,,R
480,W9224,,0,0,0,FALSE,,,R
481,W9227,,0,0,0,FALSE,,,R
482,W9235,,0,0,0,FALSE,,,R
483,W9240,,0,0,0,FALSE,,,R
484,W9245,,0,0,0,FALSE,,,R
485,W9251,,0,0,0,FALSE,,,R
486,WMS1,,0,0,0,FALSE,,,R
487,X0003,,0,0,0,FALSE,,,R
488,X0009,2011-01-14,720,0,0,TRUE,,,R
489,X0011,2011-01-14,704,0,0,TRUE,,,R
490,X0012,,0,0,0,FALSE,,,R
491,X0016,,0,0,0,FALSE,,,R
492,X0019,,0,0,0,FALSE,,,R
493,X0020,2011-01-14,628,0,0,TRUE,,,R
494,X0023,2011-01-14,714,0,0,TRUE,,,R
495,X0025,2011-01-14,678,0,0,TRUE,BANDED 11/15/2011,,R
496,X0026,,0,0,0,FALSE,,,R
497,X0029,,0,0,0,FALSE,,,R
498,X0030,,0,0,0,FALSE,,,R
499,X0032,,0,0,0,FALSE,,,R
500,X0033,2011-01-14,702,0,0,TRUE,BANDED 11/15/2011,,R
501,X0034,,0,0,0,FALSE,,,R
502,X0035,,0,0,0,FALSE,,,R
503,X0036,,0,0,0,FALSE,,,R
504,X0039,,0,0,0,FALSE,,,R
505,X0040,2011-01-14,602,0,0,TRUE,,,R
506,X0041,2011-01-14,620,0,0,TRUE,"BANDED 11/15/2011
SOLD 12/01/2011",,R
507,X0042,2011-01-14,478,0,0,TRUE,,,R
508,X0044,,0,0,0,FALSE,,,R
509,X0045,2011-01-14,618,0,0,TRUE,,,R
510,X0047,2011-01-14,664,0,0,TRUE,BANDED 11/15/2011,,R
511,X0048,,0,0,0,FALSE,,,R
512,X0049,,0,0,0,FALSE,,,R
513,X0052,,0,0,0,FALSE,,,R
514,X0053,2011-01-14,610,0,0,TRUE,,,R
515,X0054,,0,0,0,FALSE,,,R
516,X0056,,0,0,0,FALSE,,,R
517,X0059,,0,0,0,FALSE,,,R
518,X0060,2011-01-14,612,0,0,TRUE,,,R
519,X0061,2011-01-14,768,0,0,TRUE,BANDED 11/15/2011    DIED 11/21/2011 CASTRATION BAND CAME OFF AND BLED OUT,,R
520,X0062,2011-01-14,718,0,0,TRUE,BANDED 11/14/2011,,R
521,X0069,2011-01-14,724,0,0,TRUE,BANDED 11/15/2011,,R
522,X0070,,0,0,0,FALSE,,,R
523,X0071,,0,0,0,FALSE,,,R
524,X0072,,0,0,0,FALSE,,,R
525,X0073,2011-01-14,678,0,0,TRUE,,,R
526,X0077,2011-01-14,746,0,0,TRUE,BANDED 11/15/2011,,R
527,X0085,,0,0,0,FALSE,,,R
528,X0091,2011-01-14,570,0,0,TRUE,,,R
529,X0095,,0,0,0,FALSE,,,R
530,X0097,2011-01-14,570,0,0,TRUE,,,R
531,X0100,2011-01-14,688,0,0,TRUE,BANDED 11/15/2011,,R
532,X0112,2011-01-14,570,0,0,TRUE,,,R
533,X0113,2011-01-14,704,0,0,TRUE,BANDED 11/15/2011,,R
534,X0123,2011-01-14,576,0,0,TRUE,,,R
535,X0124,2011-01-14,670,0,0,TRUE,,,R
536,X0125,,0,0,0,FALSE,,,R
537,X0126,2011-01-14,716,0,0,TRUE,BANDED 11/15/2011,,R
538,X0128,,0,0,0,FALSE,,,R
539,X0129,,0,0,0,FALSE,,,R
540,X0144,,0,0,0,FALSE,,,R
541,X0145,,0,0,0,FALSE,,,R
542,X0146,,0,0,0,FALSE,,,R
543,X0155,2011-01-14,588,0,0,TRUE,BANDED 11/15/2011,,R
544,X0157,2011-01-14,592,0,0,TRUE,,,R
545,X0167,2011-01-14,680,0,0,TRUE,BANDED 11/15/2011,,R
546,X0172,,0,0,0,FALSE,,,R
547,X0188,2011-01-14,546,0,0,TRUE,,,R
548,X0195,2011-01-14,640,0,0,TRUE,,,R
549,X0196,,0,0,0,FALSE,,,R
550,X0197,,0,0,0,FALSE,,,R
