HerdID,Chaps_ID,CowID,birth_date,breed,regnum,regname,elecid,Sire_ChapsID,Sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,10057,N3326,2003-04-09,LOANARHH,,,982000007549609,20430,UNKNLO,,L1109,,2,,,,
H38,10058,P4051,2004-03-16,LOHHAN,,,982000007489354,20430,UNKNLO,,M2154,,2,,,,
H38,10059,P4082,2004-03-19,LOANGV,,,949000000007304,20430,UNKNLO,,M2346,,2,,,,
H38,10060,P4098,2004-03-20,LOANANHH,,,982000007563277,20430,UNKNLO,,M2051,,2,,,,
H38,10061,P4099,2004-03-20,LOAN,,,982000007623109,20430,UNKNLO,,M2023,,2,,,,
H38,10062,P4108,2004-03-21,LOANHH,,,982000007488876,20430,UNKNLO,,M2160,,2,,,,
H38,10063,P4132,2004-03-23,LOANAR,,,982000007220167,20430,UNKNLO,,M2088,,2,,,,
H38,10064,P4191,2004-04-05,LOHHAN,,,982000007623251,20430,UNKNLO,,M2182,,2,,,,
H38,10065,PA8810,,AN,11136428,PAPA BLACKBIRD 8810,,20325,PAPARITO,,,,2,,,,
H38,10066,PBC373,1973-08-26,AR,58495,,,20215,CHOCF373,10067,PBC6F,,2,,,,
H38,10067,PBC6F,1970-09-10,AR,33457,,,20253,KAIDAHCF,,,,2,,,,
H38,10068,PP338,,AN,1041891,BLACKCAP SAMANTHA PP 338,,20331,PSPOWER,,,,2,,,,
H38,10069,R5033,2005-03-20,LOANHHAR,,,985152000930430,20087,307M,,N3090,,2,,,,
H38,10070,R5099,2005-03-29,LOHH,,,982000007489329,20430,UNKNLO,,N3446,,2,,,,
H38,369,R5132,2005-04-04,LOANARHH,,,982000044680280,20087,307M,10057,N3326,,2,,,,
H38,10072,R5151,2005-04-08,LOANANAN,,,,20087,307M,,N3089,,2,,,,
H38,10073,R5166,2005-04-10,LOANANAN,,,982000007624002,20430,UNKNLO,,N3055,,2,,,,
H38,10074,R5167,2005-04-10,LOANHHAN,,,982000044681024,20087,307M,,N3265,,2,,,,
H38,10075,R5182,2005-04-12,LOANHHAR,,,,20087,307M,,N3059,,2,,,,
H38,10076,R5187,2005-04-12,LOANHHAN,,,,20087,307M,,N3072,,2,,,,
H38,10077,R5281,2005-05-07,LOHHHHAR,,,982000044680802,20087,307M,,N3306,,2,,,,
H38,10078,R5282,2005-05-07,LOANHHAN,,,982000044680285,20087,307M,,N3330,,2,,,,
H38,10079,RCNEXA,1978-03-21,AR,95647,,,20340,RCNROGI4,10081,RCNXARM,,2,,,,
H38,10080,RCNIDGO,1974-05-04,AR,66267,,,20348,RRRBURKE,10050,MDGLNRC,,2,,,,
H38,10081,RCNXARM,1975-03-15,AR,73399,,,20347,ROCKYMTN,,,,2,,,,
H38,10082,S6040,2006-03-22,LOANHHAN,,,982009104189698,20430,UNKNLO,,P4018,,2,,,,
H38,372,S6072,2006-03-26,LOHHARHH,,,949000000071018,20087,307M,10056,N3099,,2,,,,
H38,10084,S6092,2006-03-28,LOHHHHAR,,,999000000004180,20087,307M,,N3306,,2,,,,
H38,373,S6093,2006-03-28,LOLOHHAN,,,949000000039786,20087,307M,10064,P4191,,2,,,,
H38,10086,S6094,2006-03-28,LOANANGV,,,982000128138902,20430,UNKNLO,,P4143,,2,,,,
H38,375,S6096,2006-03-28,LOLOANAR,,,982000128138380,20087,307M,10063,P4132,,2,,,,
H38,10088,S6104,2006-03-29,LOAN,,,982000128138502,20087,307M,,N3164,,2,,,,
H38,10089,S6108,2006-03-31,LOANHP,,,982009104079522,20430,UNKNLO,,P4127,,2,,,,
H38,10090,S6109,2006-03-31,LOANAR,,,999000000000009,20430,UNKNLO,,P4090,,2,,,,
H38,10091,S6112,2006-03-31,LOANANHH,,,982009104079596,20087,307M,,N3113,,2,,,,
H38,10092,S6114,2006-04-01,LOAN,,,982009104079394,20430,UNKNLO,,P4022,,2,,,,
H38,10093,S6115,2006-04-01,LOAN,,,949000000073358,20430,UNKNLO,,P4042,,2,,,,
H38,377,S6121,2006-04-01,LOAN,,,982000044436761,20087,307M,10055,N3087,,2,,,,
H38,10095,S6122,2006-04-01,LOARHH,,,982000128138385,20087,307M,,N3305,,2,,,,
H38,10096,S6124,2006-04-02,LOANANHH,,,982000128138332,20430,UNKNLO,,P4038,,2,,,,
H38,10097,S6134,2006-04-03,LOARHPAN,,,999000000000125,20087,307M,,N3272,,2,,,,
H38,10098,S6135,2006-04-03,LOANHHAR,,,982009104069134,20087,307M,,N3090,,2,,,,
H38,10099,S6147,2006-04-06,LOANHHAN,,,999000000000175,20430,UNKNLO,,P4021,,2,,,,
H38,10100,S6158,2006-04-08,LOANANHH,,,982000039974257,20430,UNKNLO,,P4034,,2,,,,
H38,10101,S6163,2006-04-09,LOANANHH,,,982009104079717,20430,UNKNLO,,P4005,,2,,,,
H38,10102,S6164,2006-04-09,LOANHH,,,982000128138297,20430,UNKNLO,,P4076,,2,,,,
H38,10103,S6165,2006-04-09,LOANHHAN,,,999000000004118,20430,UNKNLO,,P4026,,2,,,,
H38,10104,S6183,2006-04-13,LOANHHAR,,,982000128138683,20430,UNKNLO,,P4111,,2,,,,
H38,10105,S6184,2006-04-13,LOANHHAN,,,982009104180622,20430,UNKNLO,,P4012,,2,,,,
