chaps_id,CalfID,date_weighed,managecode,group,grade,lot_no
292,B4015,2014-11-13,0,,0,
293,B4016,2014-11-13,0,,0,
294,B4021,2014-11-13,0,,0,
295,B4022,2014-05-14,C,,0,
296,B4023,2014-11-13,0,,0,
297,B4024,2014-11-13,0,,0,
298,B4027,2014-11-13,0,,0,
299,B4028,2014-07-17,D,,0,
300,B4029,2014-11-13,0,,0,
301,B4030,2014-11-13,0,,0,
302,B4031,2014-11-13,0,,0,
303,B4033,2014-11-13,0,,0,
304,B4037,2014-11-13,0,,0,
305,B4038,2014-11-13,0,,0,
306,B4039,2014-11-13,0,,0,
307,B4041,2014-11-13,0,,0,
308,B4042,2014-11-13,0,,0,
309,B4045,2014-11-13,0,,0,
310,B4047,2014-11-13,0,,0,
311,B4052,2014-11-13,0,,0,
312,B4053,2014-11-13,0,,0,
313,B4057,2014-11-13,0,,0,
314,B4058,2014-11-13,0,,0,
315,B4060,2014-11-13,0,,0,
316,B4063,2014-11-13,0,,0,
317,B4064,2014-11-13,0,,0,
318,B4067,2014-11-13,0,,0,
319,B4069,2014-11-13,0,,0,
320,B4077,2014-11-13,0,,0,
321,B4078,2014-11-13,0,,0,
322,B4079,2014-11-13,0,,0,
323,B4088,2014-11-13,0,,0,
324,B4089,2014-11-13,0,,0,
325,B4095,2014-11-13,0,,0,
326,B4096,2014-11-13,0,,0,
327,B4102,2014-11-13,0,,0,
328,B4108,2014-11-13,0,,0,
329,B4110,2014-11-13,0,,0,
330,B4111,2014-11-13,0,,0,
331,B4112,2014-11-13,0,,0,
332,B4114,2014-11-13,0,,0,
333,B4118,2014-11-13,0,,0,
334,B4127,2014-11-13,0,,0,
335,B4128,2014-11-13,0,,0,
336,B4129,2014-11-13,0,,0,
337,B4130,2014-11-13,0,,0,
338,B4131,2014-11-13,0,,0,
339,B4132,2014-11-13,0,,0,
340,B4133,2014-11-13,0,,0,
341,B4137,2014-11-13,0,,0,
342,B4148,2014-11-13,0,,0,
343,B4149,2014-11-13,0,,0,
344,B4153,2014-11-13,0,,0,
345,B4154,2014-11-13,0,,0,
346,B4160,2014-11-13,0,,0,
347,B4164,2014-11-13,0,,0,
348,B4165,2014-11-13,0,,0,
349,B4167,2014-11-13,0,,0,
350,B4171,2014-11-13,0,,0,
351,B4172,2014-11-13,0,,0,
352,B4177,2014-11-13,0,,0,
353,B4189,2014-11-13,0,,0,
354,B4192,2014-11-13,0,,0,
355,B4196,2014-11-13,0,,0,
356,B4197,2014-11-13,0,,0,
357,B4200,2014-10-22,D,,0,
358,B4201,2014-11-13,0,,0,
359,B4202,2014-11-13,0,,0,
360,B4208,2014-11-13,0,,0,
361,BMS01,2014-04-04,B,,0,
362,BMS02,2014-04-28,B,,0,
363,BMS04,2014-05-25,C,,0,
364,D503,1990-10-22,,,,
365,D531,1990-10-22,,,,
366,R075,1990-10-22,,,,
367,R5035,2005-10-26,0,,0,
368,R5125,2005-10-26,0,,0,
369,R5132,2005-10-26,0,,0,
370,S6048,2006-10-18,0,,0,
371,S6063,2006-10-18,0,,0,
372,S6072,2006-10-18,0,,0,
373,S6093,2006-10-18,0,,0,
374,S6095,2006-10-18,0,,0,
375,S6096,2006-10-18,0,,0,
376,S6113,2006-10-18,0,,0,
377,S6121,2006-10-18,0,,0,
378,S6172,2006-10-18,0,,0,
379,T7007,2007-10-01,B,,0,
380,T7009,2007-10-19,0,,0,
381,T7011,2007-10-19,0,,0,
382,T7014,2007-10-19,0,,0,
383,T7064,2007-10-19,0,,0,
384,T7087,2007-10-19,0,,0,
385,T7107,2007-10-19,0,,0,
386,T7109,2007-10-19,0,,0,
387,T7116,,0,,0,
388,T7124,2007-10-19,0,,0,
389,T7131,2007-10-19,0,,0,
390,T7163,2007-10-19,0,,0,
391,T7166,2007-10-19,0,,0,
392,T7209,2007-10-19,0,,0,
393,T7290,2007-10-19,0,,0,
394,T7291,2007-10-19,0,,0,
395,U8001,2008-10-17,0,,0,
396,U8004,2008-10-17,0,,0,
397,U8007,2008-10-28,0,,0,
398,U8008,2008-10-17,0,,0,
399,U8010,2008-10-17,0,,0,
400,U8020,2008-10-28,0,,0,
401,U8032,2008-10-17,0,,0,
402,U8044,2008-10-16,0,,0,
403,U8045,2008-10-28,0,,0,
404,U8055,2008-10-16,0,,0,
405,U8056,2008-10-16,0,,0,
406,U8057,2008-10-28,0,,0,
407,U8058,2008-10-28,0,,0,
408,U8080,2008-10-17,0,,0,
409,U8091,2008-10-17,0,,0,
410,U8093,2008-10-17,0,,0,
411,U8094,2008-10-17,0,,0,
412,U8104,2008-10-16,0,,0,
413,U8117,2008-10-28,0,,0,
414,U8133,2008-10-17,0,,0,
415,U8150,2008-10-16,0,,0,
416,U8154,2008-10-17,0,,0,
417,U8163,2008-10-16,0,,0,
418,U8180,2008-10-28,0,,0,
419,U8189,,C,,0,
420,U8190,2008-10-22,0,,0,
421,U8191,2008-10-17,0,,0,
422,U8200,2008-10-28,0,,0,
423,U8205,2008-10-16,D,,0,
424,U8242,2008-10-28,0,,0,
425,U8255,2008-10-28,C,,0,
426,U8256,2008-10-28,0,,0,
427,U8262,2008-10-28,0,,0,
428,U8263,2008-10-28,0,,0,
429,U8268,2008-10-16,0,,0,
430,U8270,2008-10-28,0,,0,
431,U8271,2008-10-17,0,,0,
432,U8276,2008-10-28,0,,0,
433,U8277,2008-10-28,0,,0,
434,U8278,2008-10-28,0,,0,
435,U8300,2008-10-01,C,,0,
436,U8303,2008-10-28,0,,0,
437,U8305,2008-05-01,C,,0,
438,U8310,2008-10-28,0,,0,
439,U8313,2008-10-28,0,,0,
440,U8314,2008-10-28,0,,0,
441,U8316,2008-10-21,0,,0,
442,U8317,2008-10-28,0,,0,
443,UMS3,,0,,0,
444,UMS4,,0,,0,
445,W9048,2009-10-29,0,,0,
446,W9051,2009-10-16,0,,0,
447,W9052,2009-10-29,0,,0,
448,W9053,2009-10-29,0,,0,
449,W9057,2009-10-16,0,,0,
450,W9058,2009-10-29,0,,0,
451,W9059,2009-10-16,0,,0,
452,W9060,2009-10-29,0,,0,
453,W9069,2009-10-16,0,,0,
454,W9072,2009-11-03,D,,0,
455,W9073,2009-10-29,D,,0,
456,W9076,2009-10-16,0,,0,
457,W9077,2009-10-16,0,,0,
458,W9089,2009-10-16,0,,0,
459,W9107,2009-10-16,0,,0,
460,W9108,2009-10-16,0,,0,
461,W9109,2009-10-16,0,,0,
462,W9120,2009-10-16,0,,0,
463,W9123,2009-10-16,0,,0,
464,W9124,2009-10-16,0,,0,
465,W9125,2009-10-16,0,,0,
466,W9148,2009-10-29,0,,0,
467,W9157,2009-10-29,0,,0,
468,W9158,2009-10-29,0,,0,
469,W9178,2009-10-29,0,,0,
470,W9186,2009-10-16,0,,0,
471,W9187,2009-10-16,0,,0,
