chaps_id,CalfID,date_weighed,weight,hip_height,frame_score,status
260,A3176,2013-11-14,476,42,5,TRUE
261,A3177,2013-11-14,540,43,5.3,TRUE
262,A3187,2013-11-14,384,39.5,3.8,TRUE
263,A3193,2013-11-14,476,41,4.4,TRUE
264,A3194,2013-11-14,458,41.5,4.6,TRUE
265,A3195,2013-11-14,544,42,5,TRUE
266,A3198,2013-11-13,314,34.5,1.2,TRUE
267,A3199,2013-11-14,554,41,4.6,TRUE
268,A3200,2013-11-14,502,42,5.1,TRUE
269,A3201,2013-11-14,416,40,4.1,TRUE
270,A3206,2013-11-14,454,40.5,4.2,TRUE
271,A3210,2013-11-14,388,38.5,3.4,TRUE
272,A3211,2013-11-14,490,41.5,4.9,TRUE
273,A3212,2013-11-14,468,40.5,4.2,TRUE
274,A3218,2013-11-14,394,38.5,3.4,TRUE
275,A3219,2013-11-13,290,35,1.8,TRUE
276,A3221,2013-11-13,442,40,4.1,TRUE
277,A3222,2013-11-13,396,39.5,4,TRUE
278,A3224,2013-11-13,398,40,4.3,TRUE
279,AMS01,,0,0,0,TRUE
280,AMS06,,0,0,0,TRUE
281,B4001,2014-11-13,490,40.5,3.8,TRUE
282,B4002,2014-11-13,602,43,5.1,TRUE
283,B4003,2014-11-13,516,44,5.3,TRUE
284,B4004,2014-11-13,522,40.5,3.9,TRUE
285,B4006,2014-11-13,500,44,5.6,TRUE
286,B4007,2014-11-13,610,44,5.3,TRUE
287,B4009,2014-11-13,548,42,4.4,TRUE
288,B4011,2014-11-13,453,42,4.7,TRUE
289,B4012,2014-11-13,461,40,3.7,TRUE
290,B4013,2014-11-13,425,38.5,3,TRUE
291,B4014,2014-11-13,500,42.5,5,TRUE
292,B4015,2014-11-13,416,38.5,2.7,TRUE
293,B4016,2014-11-13,586,42,4.4,TRUE
294,B4021,2014-11-13,532,41,4.3,TRUE
295,B4022,2014-05-14,0,0,-15.7,TRUE
296,B4023,2014-11-13,502,41,4.3,TRUE
297,B4024,2014-11-13,496,40.5,4,TRUE
298,B4027,2014-11-13,558,42,4.5,TRUE
299,B4028,2014-07-17,0,0,0,TRUE
300,B4029,2014-11-13,552,42.5,4.7,TRUE
301,B4030,2014-11-13,502,40,3.8,TRUE
302,B4031,2014-11-13,538,42,4.5,TRUE
303,B4033,2014-11-13,487,42,4.5,TRUE
304,B4037,2014-11-13,480,39.5,3.3,TRUE
305,B4038,2014-11-13,397,36.5,2.1,TRUE
306,B4039,2014-11-13,475,42.5,5,TRUE
307,B4041,2014-11-13,512,42.5,4.8,TRUE
308,B4042,2014-11-13,416,39.5,3.3,TRUE
309,B4045,2014-11-13,487,41.5,4.3,TRUE
310,B4047,2014-11-13,492,41.5,4.3,TRUE
311,B4052,2014-11-13,546,42.5,4.8,TRUE
312,B4053,2014-11-13,412,40,3.9,TRUE
313,B4057,2014-11-13,516,42,4.6,TRUE
314,B4058,2014-11-13,550,42,4.8,TRUE
315,B4060,2014-11-13,424,39.5,3.6,TRUE
316,B4063,2014-11-13,483,40,3.6,TRUE
317,B4064,2014-11-13,423,38,2.9,TRUE
318,B4067,2014-11-13,469,40,3.6,TRUE
319,B4069,2014-11-13,500,39.5,3.4,TRUE
320,B4077,2014-11-13,473,40,3.9,TRUE
321,B4078,2014-11-13,493,40.5,4.2,TRUE
322,B4079,2014-11-13,496,40,3.7,TRUE
323,B4088,2014-11-13,538,42.5,5.2,TRUE
324,B4089,2014-11-13,574,43,5.2,TRUE
325,B4095,2014-11-13,518,41.5,4.7,TRUE
326,B4096,2014-11-13,754,43,5.4,TRUE
327,B4102,2014-11-13,437,40.5,4,TRUE
328,B4108,2014-11-13,485,41.5,4.7,TRUE
329,B4110,2014-11-13,457,41.5,4.8,TRUE
330,B4111,2014-11-13,526,42.5,5,TRUE
331,B4112,2014-11-13,481,41.5,4.8,TRUE
332,B4114,2014-11-13,461,42.5,5.1,TRUE
333,B4118,2014-11-13,393,40,3.8,TRUE
334,B4127,2014-11-13,636,41.5,4.6,TRUE
335,B4128,2014-11-13,476,41.5,4.6,TRUE
336,B4129,2014-11-13,477,40,4.1,TRUE
337,B4130,2014-11-13,546,41,4.4,TRUE
338,B4131,2014-11-13,570,43.5,5.8,TRUE
339,B4132,2014-11-13,520,42,4.8,TRUE
340,B4133,2014-11-13,432,40,4.1,TRUE
341,B4137,2014-11-13,451,40.5,4.3,TRUE
342,B4148,2014-11-13,458,41,4.4,TRUE
343,B4149,2014-11-13,492,40.5,4.2,TRUE
344,B4153,2014-11-13,493,41,4.4,TRUE
345,B4154,2014-11-13,446,41,4.5,TRUE
346,B4160,2014-11-13,500,41,4.5,TRUE
347,B4164,2014-11-13,508,39.5,3.9,TRUE
348,B4165,2014-11-13,438,40,4.2,TRUE
349,B4167,2014-11-13,396,39,3.7,TRUE
350,B4171,2014-11-13,430,42,5.2,TRUE
351,B4172,2014-11-13,394,39,3.7,TRUE
352,B4177,2014-11-13,289,32.5,0.6,TRUE
353,B4189,2014-11-13,462,40.5,4.4,TRUE
354,B4192,2014-11-13,506,41.5,4.9,TRUE
355,B4196,2014-11-13,363,37.5,3,TRUE
356,B4197,2014-11-13,315,38,3.4,TRUE
357,B4200,2014-10-22,0,0,-15.4,TRUE
358,B4201,2014-11-13,510,42.5,5.5,TRUE
359,B4202,2014-11-13,395,38.5,3.6,TRUE
