chaps_id,CalfID,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
105,3130,1993-10-19,642,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
106,3131,1993-10-15,535,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
107,3132,1993-10-08,513,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
108,3133,1993-10-07,633,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
109,3139,1993-10-07,630,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
110,3140,1993-10-06,640,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
111,3141,1993-10-07,680,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
112,3142,1993-10-18,575,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
113,3143,1993-10-06,685,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
114,3146,1993-10-15,613,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
115,3147,1993-10-07,660,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
116,3148,1993-10-07,570,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
117,3152,1993-10-08,631,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
118,3153,1993-10-07,601,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
119,3154,1993-10-19,680,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
120,3155,1993-10-07,517,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
121,3157,1993-10-19,579,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
122,3161,1993-10-06,530,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
123,3167,1993-10-07,581,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
124,3170,1993-10-07,372,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
125,3175,1993-10-06,515,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
126,3176,1993-10-06,545,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
127,3179,1993-10-08,502,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
128,3181,1993-10-15,602,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
129,3182,1993-10-07,584,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
130,3183,1993-10-07,428,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
131,3184,1993-10-15,536,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
132,3186,1993-10-07,520,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
