chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,stage
335,,0,0,0,0,0,0,F
336,,0,0,0,0,0,0,F
337,,0,0,0,0,0,0,F
338,,0,0,0,0,0,0,F
339,,0,0,0,0,0,0,F
340,,0,0,0,0,0,0,F
341,,0,0,0,0,0,0,F
342,,0,0,0,0,0,0,F
343,,0,0,0,0,0,0,F
344,,0,0,0,0,0,0,F
345,,0,0,0,0,0,0,F
346,,0,0,0,0,0,0,F
347,,0,0,0,0,0,0,F
348,,0,0,0,0,0,0,F
349,,0,0,0,0,0,0,F
350,,0,0,0,0,0,0,F
351,,0,0,0,0,0,0,F
352,,0,0,0,0,0,0,F
353,,0,0,0,0,0,0,F
354,,0,0,0,0,0,0,F
355,,0,0,0,0,0,0,F
356,,0,0,0,0,0,0,F
357,,0,0,0,0,0,0,F
358,,0,0,0,0,0,0,F
359,,0,0,0,0,0,0,F
360,,0,0,0,0,0,0,F
361,,0,0,0,0,0,0,F
362,,0,0,0,0,0,0,F
363,,0,0,0,0,0,0,F
364,02-Jan-00,0,0,0,0,0,0,F
365,02-Jan-00,0,0,0,0,0,0,F
366,02-Jan-00,0,0,0,0,0,0,F
367,,0,0,0,0,0,0,F
368,,0,0,0,0,0,0,F
369,,0,0,0,0,0,0,F
370,,0,0,0,0,0,0,F
371,,0,0,0,0,0,0,F
372,,0,0,0,0,0,0,F
373,,0,0,0,0,0,0,F
374,,0,0,0,0,0,0,F
375,,0,0,0,0,0,0,F
376,,0,0,0,0,0,0,F
377,,0,0,0,0,0,0,F
378,,0,0,0,0,0,0,F
379,,0,0,0,0,0,0,F
380,,0,0,0,0,0,0,F
381,18-Mar-08,552,42,2.5,0,0,0,F
382,18-Mar-08,522,42,2.5,0,0,0,F
383,18-Mar-08,684,46,4.6,0,0,0,F
384,,0,0,0,0,0,0,F
385,18-Mar-08,534,45,4.1,0,0,0,F
386,18-Mar-08,496,42,2.6,0,0,0,F
387,,0,0,0,0,0,0,F
388,,0,0,0,0,0,0,F
389,,0,0,0,0,0,0,F
390,18-Mar-08,558,41,2.1,0,0,0,F
391,18-Mar-08,600,44,3.7,0,0,0,F
392,,0,0,0,0,0,0,F
393,,0,0,0,0,0,0,F
394,18-Mar-08,392,39,1.6,0,0,0,F
