chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
19,19-Oct-90,512,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
20,17-Oct-90,553,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
21,19-Oct-90,512,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
22,25-Oct-90,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
23,19-Oct-90,420,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
24,25-Oct-90,475,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
25,18-Oct-90,423,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
26,17-Oct-90,573,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
27,17-Oct-90,660,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
28,17-Oct-90,529,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
29,17-Oct-90,562,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
30,22-Oct-90,624,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
31,22-Oct-90,624,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
32,22-Oct-90,520,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
33,22-Oct-90,550,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
34,17-Oct-90,490,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
35,18-Oct-90,575,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
36,22-Oct-90,618,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
37,17-Oct-90,530,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
38,18-Oct-90,455,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
39,19-Oct-90,525,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
40,18-Oct-90,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
41,17-Oct-90,475,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
42,22-Oct-90,665,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
43,22-Oct-90,633,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
44,19-Oct-90,685,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
45,17-Oct-90,550,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
46,19-Oct-90,568,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
47,18-Oct-90,437,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
48,17-Oct-90,573,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
49,19-Oct-90,514,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
50,22-Oct-90,612,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
51,18-Oct-90,550,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
52,17-Oct-90,468,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
